Total Length of URL, Length of Base URL, Number of Sub-Folders, Top-Level Domain, Is Redirecting URL
33, 20, 2, .pw, False
33, 20, 2, .pw, False
32, 31, 1, .com, False
95, 49, 4, .com, False
24, 16, 2, .pw, False
32, 31, 1, .com, False
75, 32, 4, .tk, False
141, 11, 2, .com, False
20, 19, 1, .com, False
26, 19, 1, .com, False
36, 19, 3, .com, False
16, 15, 1, .com, False
44, 17, 3, .com, False
49, 19, 3, .ec, False
41, 33, 1, .net, False
42, 33, 1, .net, False
45, 33, 2, .net, False
120, 31, 15, .pl, False
13, 13, 0, .me, False
15, 10, 1, .fr, False
83, 15, 4, .mx, False
259, 15, 15, .mx, False
26, 25, 1, .com, False
48, 17, 3, .id, False
50, 36, 4, .com, False
60, 31, 3, .org, False
90, 49, 3, .com, False
417, 37, 1, .com, False
28, 22, 2, .tk, False
26, 13, 2, .174, False
15, 15, 0, .uk, False
114, 48, 2, .com, False
74, 24, 3, .com, False
37, 20, 3, .online, False
54, 14, 2, .15, False
54, 14, 2, .15, False
27, 14, 2, .15, False
26, 14, 2, .15, False
24, 14, 2, .15, False
27, 14, 2, .15, False
25, 14, 2, .15, False
26, 14, 2, .15, False
17, 16, 1, .com, False
35, 9, 1, .site, False
21, 9, 1, .site, False
16, 9, 1, .site, False
14, 9, 2, .site, False
14, 9, 2, .site, False
16, 9, 2, .site, False
20, 9, 2, .site, False
18, 9, 2, .site, False
13, 9, 2, .site, False
16, 9, 2, .site, False
14, 9, 2, .site, False
16, 9, 2, .site, False
13, 12, 1, .com, False
16, 9, 2, .site, False
62, 20, 5, .com, False
143, 9, 5, .net, False
14, 9, 2, .site, False
153, 27, 4, .com, False
115, 19, 2, .com, False
117, 19, 2, .com, False
36, 14, 2, .com, False
66, 13, 4, .kr, False
262, 10, 6, .pe, False
91, 76, 2, .club, False
16, 16, 0, .com, False
24, 18, 2, .com, False
49, 19, 6, .it, False
182, 25, 2, .tk, False
15, 11, 2, .biz, False
15, 12, 1, .nl, False
12, 8, 2, .nl, False
13, 6, 1, .gl, True: goo.gl
13, 6, 1, .gl, True: goo.gl
58, 23, 3, .info, False
22, 18, 2, .com, False
33, 29, 2, .nl, False
19, 16, 1, .nl, False
13, 6, 1, .gl, True: goo.gl
13, 6, 1, .gl, True: goo.gl
33, 32, 1, .org, False
61, 25, 2, .tk, False
21, 20, 1, .com, False
20, 20, 0, .com, False
32, 29, 2, .com, False
68, 19, 3, .com, False
64, 15, 3, .com, False
21, 14, 2, .com, False
133, 21, 2, .com, False
71, 18, 2, .com, False
53, 15, 6, .br, False
62, 15, 6, .com, False
202, 20, 13, .com, False
23, 20, 2, .pw, False
23, 20, 2, .pw, False
24, 18, 2, .com, False
35, 30, 2, .bo, False
57, 19, 3, .tech, False
24, 19, 1, .tech, False
23, 20, 2, .pw, False
23, 20, 2, .pw, False
22, 21, 1, .com, False
23, 20, 2, .pw, False
56, 19, 3, .tech, False
24, 9, 3, .io, False
23, 20, 2, .pw, False
23, 20, 2, .pw, False
128, 20, 8, .com, False
23, 20, 2, .pw, False
39, 19, 3, .tech, False
23, 20, 2, .pw, False
23, 20, 2, .pw, False
60, 15, 3, .com, False
75, 16, 4, .com, False
54, 27, 2, .top, False
117, 9, 4, .io, False
38, 9, 3, .io, False
52, 19, 4, .in, False
97, 19, 6, .in, False
70, 19, 5, .in, False
71, 19, 6, .in, False
25, 14, 1, .site, False
48, 15, 3, .us, False
49, 15, 4, .us, False
38, 19, 2, .com, False
38, 19, 2, .com, False
49, 12, 2, .4, False
29, 26, 1, .br, False
28, 27, 1, .co, False
25, 24, 1, .com, False
36, 15, 2, .com, False
38, 19, 3, .tech, False
23, 19, 1, .tech, False
46, 19, 3, .tech, False
24, 11, 2, .52, False
30, 11, 3, .52, False
66, 14, 1, .com, False
48, 13, 7, .com, False
43, 17, 3, .com, False
399, 24, 2, .net, False
49, 20, 4, .il, False
30, 23, 1, .com, False
43, 23, 2, .com, False
37, 14, 3, .com, False
42, 34, 2, .com, False
38, 19, 2, .br, False
76, 25, 6, .br, False
183, 23, 6, .com, False
29, 28, 1, .com, False
33, 32, 1, .com, False
247, 11, 1, .net, False
36, 15, 2, .icu, False
30, 29, 1, .com, False
32, 31, 1, .com, False
52, 25, 1, .io, False
19, 18, 1, .com, False
40, 39, 1, .florist, False
40, 9, 5, .ua, False
243, 9, 5, .ua, False
23, 20, 2, .pw, False
23, 20, 2, .pw, False
24, 17, 2, .ar, False
37, 12, 4, .com, False
27, 21, 2, .in, False
33, 23, 1, .com, False
44, 25, 3, .ga, False
23, 20, 2, .pw, False
20, 20, 0, .com, False
34, 24, 1, .com, False
112, 14, 2, .net, False
19, 18, 1, .com, True: x.co
41, 18, 3, .com, True: x.co
33, 17, 2, .jp, False
24, 19, 1, .org, False
25, 19, 2, .org, False
27, 18, 1, .eu, False
28, 18, 2, .eu, False
23, 18, 1, .eu, False
24, 18, 2, .eu, False
29, 14, 2, .com, False
30, 14, 3, .com, False
21, 19, 1, .org, False
22, 19, 2, .org, False
29, 16, 2, .net, False
20, 14, 1, .co, False
21, 14, 2, .co, False
65, 13, 3, .kr, False
55, 20, 6, .online, False
133, 21, 2, .com, False
64, 19, 4, .com, False
33, 18, 2, .br, False
44, 18, 2, .br, False
30, 11, 3, .52, False
38, 11, 3, .52, False
58, 11, 4, .com, False
54, 17, 5, .fr, False
33, 20, 1, .eu, False
35, 20, 1, .eu, False
54, 20, 2, .eu, False
58, 20, 2, .eu, False
59, 20, 2, .eu, False
397, 37, 1, .com, False
54, 20, 2, .eu, False
60, 20, 2, .eu, False
60, 20, 2, .eu, False
56, 20, 2, .eu, False
54, 20, 2, .eu, False
53, 20, 2, .eu, False
63, 20, 3, .eu, False
55, 20, 2, .eu, False
52, 20, 2, .eu, False
54, 20, 2, .eu, False
51, 20, 2, .eu, False
53, 20, 2, .eu, False
54, 20, 2, .eu, False
53, 20, 2, .eu, False
54, 20, 2, .eu, False
54, 20, 2, .eu, False
53, 20, 2, .eu, False
53, 20, 2, .eu, False
59, 20, 2, .eu, False
29, 28, 1, .club, False
33, 28, 2, .ve, False
107, 16, 1, .com, False
23, 20, 2, .pw, False
23, 20, 2, .pw, False
18, 9, 2, .com, False
31, 21, 2, .com, False
114, 36, 3, .online, False
5, 5, 0, .http:, False
21, 11, 2, .121, False
50, 20, 3, .me, False
41, 20, 3, .me, False
28, 20, 2, .me, False
21, 20, 1, .me, False
59, 51, 1, .com, False
48, 34, 2, .com, False
46, 16, 4, .com, False
603, 16, 2, .com, False
70, 17, 1, .com, False
27, 17, 2, .es, False
29, 19, 2, .es, False
51, 35, 2, .com, False
36, 26, 2, .es, False
47, 20, 3, .me, False
36, 26, 2, .com, False
37, 20, 2, .me, False
25, 20, 2, .me, False
36, 26, 2, .com, False
36, 26, 2, .com, False
32, 22, 2, .com, False
43, 22, 3, .systems, False
32, 22, 2, .com, False
34, 24, 2, .com, False
35, 25, 2, .com, False
22, 18, 2, .nl, False
24, 20, 2, .nl, False
18, 14, 2, .nl, False
13, 6, 1, .gl, True: goo.gl
13, 6, 1, .gl, True: goo.gl
44, 33, 2, .net, False
31, 27, 2, .nl, False
13, 6, 1, .gl, True: goo.gl
34, 33, 1, .net, False
41, 33, 2, .net, False
30, 21, 2, .com, False
23, 20, 2, .pw, False
23, 22, 1, .xyz, False
15, 14, 1, .club, False
14, 13, 1, .xyz, False
13, 7, 1, .tl, False
10, 4, 1, .co, True: x.co
45, 31, 2, .com, False
10, 4, 1, .co, True: x.co
32, 14, 4, .au, False
164, 15, 10, .org, False
32, 13, 3, .net, False
96, 18, 3, .com, False
97, 18, 3, .com, False
46, 23, 2, .ca, False
35, 29, 1, .net, False
40, 16, 4, .com, False
41, 16, 5, .com, False
16, 10, 1, .im, False
36, 29, 2, .net, False
13, 6, 1, .gl, True: goo.gl
16, 15, 1, .com, False
75, 59, 2, .com, False
13, 7, 1, .tl, False
28, 19, 1, .asia, False
21, 21, 0, .review, False
42, 31, 2, .com, False
39, 31, 2, .com, False
16, 10, 1, .im, False
32, 31, 1, .com, False
14, 14, 0, .us, False
24, 24, 0, .uk, False
23, 22, 1, .com, False
32, 13, 3, .14, False
25, 13, 1, .14, False
32, 13, 3, .14, False
28, 28, 0, .info, False
27, 27, 0, .com, False
205, 29, 2, .net, False
13, 13, 0, .us, False
40, 14, 4, .com, False
40, 14, 4, .com, False
18, 18, 0, .jp, False
45, 31, 2, .com, False
32, 21, 3, .com, False
44, 29, 2, .com, False
29, 29, 0, .com, False
11, 11, 0, .com, False
38, 28, 1, .cf, False
25, 22, 1, .com, False
80, 22, 5, .com, False
81, 22, 6, .com, False
36, 36, 0, .com, False
71, 8, 6, .com, False
72, 8, 7, .com, False
16, 8, 2, .com, False
32, 32, 0, .net, False
18, 17, 1, .com, False
20, 6, 1, .ly, True: bit.ly
24, 23, 1, .com, False
31, 16, 2, .host, False
63, 33, 3, .org, False
18, 12, 2, .tv, False
76, 71, 2, .club, False
37, 21, 1, .com, False
76, 27, 3, .top, False
79, 7, 2, .tl, False
30, 10, 2, .im, False
60, 33, 1, .net, False
25, 13, 2, .com, False
42, 15, 4, .com, False
26, 11, 3, .cl, False
63, 62, 1, .org, False
59, 58, 1, .org, False
10, 4, 1, .co, True: x.co
30, 12, 4, .com, False
58, 7, 1, .tl, False
52, 16, 5, .com, False
102, 15, 7, .org, False
48, 23, 2, .com, False
31, 22, 2, .au, False
75, 15, 1, .com, False
35, 13, 3, .com, False
31, 19, 2, .ga, False
174, 19, 2, .ga, False
16, 8, 1, .com, False
50, 29, 1, .com, False
73, 29, 1, .com, False
59, 31, 1, .com, False
22, 21, 1, .icu, False
21, 21, 0, .top, False
29, 10, 2, .com, False
67, 39, 1, .com, False
45, 11, 4, .am, False
22, 21, 1, .org, False
123, 13, 4, .cf, False
157, 20, 3, .ml, False
40, 19, 3, .au, False
18, 18, 0, .jp, False
13, 13, 0, .pro, False
14, 13, 1, .pro, False
14, 14, 0, .ml, False
22, 21, 1, .tech, False
106, 21, 3, .tech, False
16, 15, 1, .ga, False
16, 15, 1, .com, False
12, 11, 1, .com, False
67, 26, 5, .uk, False
77, 26, 6, .uk, False
33, 31, 1, .net, False
18, 15, 2, .com, False
34, 15, 1, .com, False
543, 24, 2, .net, False
25, 17, 2, .ca, False
14, 14, 0, .fun, False
23, 14, 1, .fun, False
57, 14, 3, .fun, False
17, 15, 1, .com, False
15, 15, 0, .pro, False
100, 15, 3, .pro, False
13, 13, 0, .XYZ, False
16, 15, 1, .pro, False
84, 15, 2, .com, False
45, 10, 1, .im, False
26, 13, 2, .14, False
32, 13, 3, .14, False
203, 29, 2, .net, False
45, 21, 3, .com, False
44, 21, 3, .com, False
45, 21, 3, .com, False
29, 14, 2, .org, False
174, 13, 3, .com, False
181, 13, 3, .com, False
78, 7, 1, .tl, False
29, 12, 3, .com, False
198, 36, 8, .com, False
22, 12, 2, .com, False
32, 14, 4, .au, False
69, 61, 2, .com, False
67, 42, 3, .co, False
79, 13, 10, .mx, False
50, 13, 6, .mx, False
61, 36, 3, .com, False
77, 13, 10, .mx, False
130, 9, 5, .org, False
56, 30, 2, .com, False
60, 30, 2, .com, False
83, 16, 6, .com, False
48, 32, 2, .com, False
10, 10, 0, .pro, False
43, 19, 2, .au, False
28, 13, 2, .com, False
66, 18, 3, .com, False
18, 18, 0, .com, False
33, 23, 1, .in, False
25, 24, 1, .com, False
19, 18, 1, .com, False
27, 26, 1, .com, False
35, 19, 2, .com, False
50, 33, 1, .com, False
269, 54, 5, .com, False
399, 26, 8, .uk, False
259, 26, 7, .uk, False
101, 26, 7, .uk, False
94, 8, 7, .com, False
318, 15, 4, .org, False
94, 8, 7, .com, False
409, 26, 8, .uk, False
46, 45, 1, .cf, False
34, 31, 2, .net, False
33, 14, 3, .113, False
41, 14, 3, .113, False
52, 14, 3, .ga, False
44, 12, 3, .au, False
31, 14, 3, .au, False
16, 10, 1, .im, False
157, 20, 3, .ga, False
15, 15, 0, .it, False
40, 22, 3, .it, False
93, 24, 6, .uk, False
39, 24, 3, .uk, False
44, 12, 3, .au, False
30, 12, 4, .com, False
31, 22, 2, .au, False
46, 22, 1, .za, False
47, 22, 2, .za, False
56, 22, 2, .za, False
56, 22, 2, .za, False
53, 22, 2, .za, False
31, 15, 4, .com, False
54, 22, 3, .za, False
55, 22, 2, .za, False
60, 22, 2, .za, False
56, 22, 2, .za, False
51, 20, 3, .com, False
54, 31, 1, .com, False
29, 29, 0, .mobi, False
67, 28, 5, .com, False
31, 19, 1, .pw, False
289, 19, 3, .pw, False
44, 28, 1, .com, False
37, 11, 3, .com, False
27, 9, 2, .gq, False
125, 20, 3, .dk, False
58, 13, 6, .desi, False
47, 19, 3, .net, False
65, 26, 5, .com, False
21, 9, 2, .il, False
39, 31, 2, .com, False
30, 20, 2, .br, False
31, 20, 3, .br, False
22, 20, 1, .com, False
51, 12, 5, .com, False
30, 26, 2, .com, False
21, 14, 1, .com, False
22, 14, 2, .com, False
10, 6, 1, .lv, False
48, 27, 2, .xyz, False
61, 22, 5, .com, False
26, 14, 1, .ru, False
18, 17, 1, .su, False
127, 14, 6, .com, False
105, 16, 2, .co, False
45, 14, 1, .be, False
363, 18, 2, .au, False
87, 22, 1, .nl, False
99, 13, 2, .mx, False
94, 14, 2, .com, False
56, 15, 2, .com, False
27, 27, 0, .cc, False
23, 12, 1, .com, False
37, 37, 0, .co, False
41, 41, 0, .com, False
63, 14, 3, .com, False
28, 17, 1, .me, False
10, 4, 1, .co, True: x.co
53, 26, 2, .pw, False
56, 18, 5, .com, False
31, 17, 1, .de, False
23, 22, 1, .com, False
76, 25, 5, .website, False
64, 26, 2, .com, False
25, 14, 1, .eu, False
23, 12, 1, .ru, False
14, 13, 1, .86, False
52, 19, 5, .tw, False
17, 5, 1, .ly, False
78, 28, 4, .com, False
45, 19, 4, .com, False
48, 32, 2, .com, False
49, 10, 6, .com, False
105, 10, 11, .com, False
52, 41, 1, .com, False
69, 24, 6, .com, False
51, 12, 5, .com, False
28, 11, 3, .am, False
28, 11, 3, .am, False
34, 15, 4, .com, False
44, 15, 4, .com, False
87, 17, 7, .fr, False
208, 175, 1, .com, False
67, 22, 6, .com, False
