Total Length, Frequency
5, 2
6, 1
8, 2
10, 26
11, 5
12, 7
13, 40
14, 24
15, 27
16, 26
17, 14
18, 22
19, 19
20, 14
21, 30
22, 32
23, 42
24, 29
25, 22
26, 30
27, 30
28, 31
29, 23
30, 24
31, 29
32, 29
33, 29
34, 28
35, 26
36, 29
37, 28
38, 31
39, 17
40, 21
41, 23
42, 23
43, 18
44, 32
45, 30
46, 22
47, 26
48, 32
49, 30
50, 21
51, 16
52, 22
53, 17
54, 28
55, 17
56, 21
57, 11
58, 16
59, 12
60, 15
61, 24
62, 14
63, 9
64, 19
65, 8
66, 15
67, 15
68, 8
69, 12
70, 11
71, 7
72, 7
73, 5
74, 11
75, 6
76, 10
77, 7
78, 3
79, 4
80, 2
81, 2
82, 4
83, 7
84, 1
85, 1
86, 3
87, 3
88, 9
89, 1
90, 3
91, 6
93, 5
94, 14
95, 5
96, 3
97, 8
98, 3
99, 3
100, 2
101, 3
102, 6
103, 1
105, 3
106, 2
107, 3
108, 1
109, 2
112, 2
113, 1
114, 4
115, 3
116, 2
117, 4
120, 5
121, 1
123, 3
124, 4
125, 3
126, 2
127, 2
128, 3
129, 2
130, 1
132, 2
133, 4
135, 1
137, 2
138, 1
140, 1
141, 4
143, 3
144, 10
145, 3
146, 2
149, 3
150, 2
153, 2
154, 4
155, 1
157, 2
158, 3
162, 1
163, 2
164, 1
167, 1
172, 1
173, 1
174, 3
178, 2
181, 1
182, 1
183, 1
186, 2
187, 1
191, 1
195, 1
197, 1
198, 2
199, 1
200, 3
201, 1
202, 1
203, 2
204, 1
205, 1
208, 1
212, 1
223, 1
225, 1
227, 1
229, 2
230, 2
234, 1
243, 1
247, 2
248, 1
254, 1
259, 2
262, 1
269, 2
274, 1
275, 1
289, 1
295, 1
296, 1
301, 1
309, 1
315, 1
317, 1
318, 2
322, 1
325, 1
339, 1
344, 2
352, 1
361, 1
363, 1
365, 1
378, 2
382, 1
386, 1
389, 1
390, 1
397, 1
399, 2
400, 1
409, 1
417, 1
453, 1
479, 1
488, 1
543, 1
598, 1
602, 1
603, 1
654, 1
818, 1
