Domain Expiry, Frequency
0, 1
2, 1
4, 1
8, 1
11, 2
12, 3
14, 5
16, 1
17, 1
18, 2
19, 1
22, 4
25, 1
28, 1
29, 1
30, 7
31, 9
32, 2
33, 1
37, 1
41, 1
44, 2
47, 1
49, 1
50, 2
51, 1
52, 1
55, 1
57, 1
58, 1
59, 2
64, 1
65, 1
66, 1
71, 2
73, 1
75, 10
77, 1
79, 4
81, 2
83, 7
84, 2
86, 1
87, 1
88, 2
89, 2
91, 1
92, 1
94, 1
95, 1
98, 3
99, 2
101, 2
102, 3
103, 1
104, 1
105, 1
107, 3
108, 1
110, 1
111, 1
112, 3
114, 2
115, 1
116, 2
118, 2
120, 3
121, 2
124, 3
125, 1
127, 2
129, 1
130, 4
131, 1
132, 1
133, 1
135, 1
136, 2
137, 1
138, 2
139, 2
140, 2
141, 1
143, 2
145, 2
146, 3
150, 1
151, 1
153, 1
155, 2
156, 2
157, 2
158, 4
159, 2
160, 4
161, 1
162, 1
166, 1
167, 1
168, 1
170, 4
171, 2
172, 3
173, 1
175, 1
176, 1
178, 1
180, 1
181, 1
182, 1
184, 1
185, 5
187, 1
190, 4
192, 2
194, 2
196, 1
199, 1
200, 1
203, 1
204, 2
207, 3
209, 4
210, 2
211, 1
212, 5
213, 2
216, 1
217, 1
219, 3
223, 3
225, 1
228, 2
229, 2
230, 3
231, 1
233, 2
234, 2
237, 2
238, 1
239, 1
240, 2
241, 1
242, 5
243, 10
244, 1
245, 1
246, 1
247, 1
248, 1
249, 2
250, 1
251, 6
254, 1
255, 4
258, 14
259, 2
266, 2
267, 3
269, 1
270, 2
271, 4
272, 1
273, 1
274, 8
275, 1
276, 1
277, 2
280, 4
282, 1
284, 1
285, 2
288, 3
289, 3
290, 3
291, 1
294, 1
296, 1
297, 7
298, 2
299, 1
300, 3
301, 1
302, 6
303, 6
306, 1
307, 2
308, 1
309, 6
310, 6
311, 3
312, 1
313, 1
317, 3
318, 1
319, 8
321, 2
322, 1
324, 1
325, 5
326, 4
327, 4
328, 2
330, 2
331, 1
332, 4
335, 3
336, 2
337, 1
338, 2
340, 3
341, 2
342, 1
343, 1
344, 1
345, 2
346, 2
347, 4
348, 4
349, 3
350, 1
351, 3
352, 10
353, 2
354, 4
355, 11
356, 7
357, 2
358, 2
359, 4
360, 6
361, 28
362, 29
363, 55
364, 20
370, 1
372, 1
376, 1
379, 1
382, 1
383, 1
385, 3
389, 1
390, 2
394, 1
396, 1
403, 2
408, 1
410, 2
423, 1
424, 1
433, 1
437, 4
441, 1
445, 1
454, 1
478, 1
479, 2
480, 1
499, 4
504, 1
511, 1
514, 1
518, 1
523, 1
527, 1
550, 1
556, 1
572, 1
574, 1
585, 3
593, 1
605, 5
607, 1
608, 1
609, 1
611, 1
616, 1
620, 1
622, 1
653, 5
657, 3
658, 1
660, 1
661, 1
680, 1
684, 1
695, 1
700, 1
703, 1
708, 2
712, 1
715, 1
721, 1
727, 2
729, 1
738, 1
751, 1
752, 1
792, 1
800, 1
803, 1
831, 1
845, 1
848, 3
857, 1
863, 1
866, 1
873, 14
879, 1
889, 2
900, 1
927, 1
983, 6
984, 1
1002, 6
1040, 1
1066, 2
1068, 1
1093, 1
1235, 2
1257, 26
1261, 1
1323, 1
1350, 1
1418, 1
1469, 1
1497, 2
1550, 8
1720, 1
1753, 1
1788, 1
1798, 1
1801, 1
1813, 1
1819, 2
1864, 3
1983, 1
2410, 1
2478, 1
2661, 1
2787, 1
3414, 1
3649, 1
