Domain Age, Frequency
0, 2
1, 35
2, 51
3, 20
4, 20
5, 5
7, 3
8, 5
9, 8
10, 9
11, 1
12, 1
13, 1
15, 2
16, 2
17, 1
18, 4
21, 2
22, 1
24, 2
25, 2
27, 1
30, 1
32, 2
33, 2
35, 1
38, 1
39, 3
40, 1
44, 1
45, 1
46, 1
48, 1
53, 2
57, 1
61, 1
64, 1
66, 1
67, 2
68, 3
69, 1
74, 2
77, 2
91, 3
94, 2
109, 1
110, 1
114, 1
115, 1
118, 1
121, 1
122, 1
123, 1
132, 1
141, 1
145, 2
146, 1
147, 1
152, 2
155, 1
157, 2
161, 1
162, 1
165, 1
170, 1
171, 1
173, 1
178, 1
180, 1
194, 1
197, 2
204, 1
206, 1
224, 1
235, 1
249, 1
251, 1
254, 1
264, 1
266, 2
273, 1
277, 1
282, 1
286, 2
287, 1
289, 1
290, 2
305, 1
313, 1
321, 1
327, 1
332, 1
345, 3
347, 1
349, 1
350, 1
353, 1
368, 1
377, 2
379, 1
385, 2
395, 1
400, 1
402, 1
403, 1
411, 2
417, 1
427, 1
432, 4
435, 1
436, 1
445, 1
471, 1
490, 1
492, 1
499, 1
522, 1
537, 1
549, 1
555, 1
560, 2
561, 1
564, 1
575, 1
578, 1
585, 1
586, 1
591, 1
592, 1
594, 2
602, 1
617, 1
618, 1
623, 1
635, 1
646, 1
647, 5
654, 1
661, 1
683, 1
701, 1
702, 1
715, 4
719, 1
727, 1
736, 2
746, 1
747, 1
768, 2
770, 1
791, 2
810, 1
813, 1
817, 1
822, 1
823, 1
824, 6
829, 1
840, 1
847, 1
860, 1
864, 2
887, 1
914, 1
917, 1
933, 2
934, 25
940, 1
949, 1
950, 1
991, 1
993, 2
995, 1
1032, 1
1037, 1
1038, 1
1045, 1
1096, 1
1098, 1
1151, 2
1160, 1
1202, 1
1213, 1
1216, 1
1233, 3
1236, 1
1240, 1
1242, 1
1261, 1
1276, 1
1301, 1
1303, 1
1309, 1
1318, 1
1324, 1
1329, 1
1337, 3
1353, 1
1369, 1
1403, 1
1437, 1
1443, 1
1453, 1
1473, 1
1495, 1
1499, 1
1500, 1
1507, 3
1513, 1
1535, 1
1540, 2
1549, 1
1551, 1
1552, 1
1556, 1
1558, 3
1572, 1
1586, 5
1587, 3
1633, 1
1642, 1
1655, 1
1692, 1
1695, 1
1696, 2
1710, 1
1711, 1
1724, 1
1727, 1
1736, 1
1737, 1
1739, 1
1747, 2
1759, 1
1776, 1
1781, 1
1787, 1
1788, 3
1796, 1
1808, 1
1817, 1
1821, 1
1838, 10
1844, 1
1850, 2
1854, 1
1877, 1
1881, 5
1883, 1
1885, 1
1901, 1
1910, 1
1916, 3
1920, 3
1939, 2
1941, 1
1948, 1
1984, 1
2030, 1
2037, 1
2052, 1
2054, 1
2055, 1
2058, 1
2059, 1
2090, 1
2107, 1
2132, 1
2133, 1
2141, 1
2161, 2
2171, 1
2193, 1
2208, 3
2230, 1
2237, 1
2244, 1
2253, 3
2279, 1
2291, 1
2305, 1
2311, 1
2318, 1
2339, 1
2397, 2
2438, 1
2443, 2
2444, 1
2445, 1
2452, 1
2513, 1
2520, 1
2525, 2
2532, 2
2545, 1
2549, 1
2553, 2
2585, 1
2622, 1
2633, 1
2642, 2
2679, 1
2682, 2
2689, 1
2726, 1
2732, 5
2745, 1
2749, 1
2756, 1
2775, 2
2787, 1
2794, 1
2796, 1
2807, 1
2808, 1
2841, 1
2847, 7
2860, 1
2891, 1
2911, 1
2916, 1
2928, 2
2977, 1
2995, 1
3000, 1
3033, 1
3073, 1
3129, 1
3141, 1
3144, 14
3167, 1
3215, 4
3236, 1
3264, 1
3280, 1
3289, 1
3329, 1
3369, 1
3383, 1
3411, 1
3440, 4
3448, 1
3455, 1
3512, 2
3523, 1
3586, 1
3622, 1
3630, 1
3665, 2
3669, 1
3673, 2
3708, 5
3727, 1
3776, 1
3869, 2
3890, 1
3896, 2
3922, 1
3933, 1
3972, 1
4044, 1
4046, 1
4132, 1
4152, 1
4164, 2
4224, 2
4250, 4
4269, 1
4296, 1
4301, 1
4350, 1
4425, 1
4428, 1
4513, 1
4610, 1
4623, 1
4628, 2
4630, 4
4646, 1
4692, 1
4758, 1
4777, 1
4813, 1
4853, 2
4883, 1
4890, 2
4910, 9
4931, 3
4942, 1
4973, 2
5001, 1
5014, 1
5147, 1
5157, 1
5161, 2
5177, 1
5189, 3
5198, 1
5210, 1
5307, 1
5321, 1
5389, 1
5504, 1
5507, 1
5541, 2
5554, 1
5684, 2
5736, 1
5756, 1
5771, 1
5884, 1
5981, 1
6023, 1
6052, 1
6102, 1
6139, 1
6167, 1
6188, 1
6247, 1
6266, 1
6271, 1
6315, 1
6322, 6
6364, 4
6365, 1
6390, 1
6391, 1
6402, 2
6414, 1
6484, 1
6485, 7
6494, 1
6552, 1
6560, 1
6575, 2
6592, 1
6597, 2
6625, 1
6696, 13
6710, 1
6834, 1
6906, 1
6915, 1
7145, 3
7149, 1
7188, 2
7232, 1
7233, 2
7340, 1
7416, 1
7418, 3
7432, 2
7512, 1
7530, 1
7537, 1
7551, 2
7710, 1
7732, 2
7747, 4
7779, 3
7932, 1
8012, 4
8107, 1
8108, 3
8514, 3
8563, 1
8802, 1
8871, 14
9052, 1
